timeline,player_id,game_id,opponent_player_id,team_id,sac,balls,strikes,result,base1,base2,base3,Close,pinch,inning,run_diff,outs,sb,cs,rbi,r,spot,hit_loc,hit_xy,exit_velo,launch_angle
3,8,1,33,1,0,0,0,4,0,0,0,1,1,9,-1,1,0,0,0,0,9,38,225,143,2
3,10,1,38,1,0,0,0,4,0,0,1,1,0,2,0,2,0,0,0,0,9,2,249,140,1
3,10,1,38,1,0,3,2,4,1,0,0,1,0,4,0,2,0,0,0,0,9,29,38,134,1
3,10,1,38,1,0,3,2,1,0,0,0,1,0,7,0,0,0,0,0,0,9,86,255,0,0
3,15,1,38,1,0,2,2,7,0,0,0,1,0,2,0,1,0,0,0,0,7,72,94,178,14
3,15,1,38,1,0,0,1,5,0,0,0,1,0,4,0,1,0,0,0,0,7,42,199,94,72
3,15,1,38,1,0,3,2,1,1,0,0,1,0,6,0,1,0,0,0,0,7,86,255,0,0
3,15,1,33,1,0,1,0,4,0,0,0,1,0,8,-1,2,0,0,0,0,7,29,126,140,0
3,16,1,38,1,0,0,0,4,1,1,0,1,0,1,0,2,0,0,0,0,5,26,65,106,4
3,16,1,38,1,0,1,1,7,1,0,1,1,0,3,1,2,0,0,2,0,5,57,242,177,22
3,16,1,38,1,0,3,2,4,0,0,0,1,0,6,0,0,0,0,0,0,5,38,83,128,5
3,16,1,33,1,0,3,1,5,0,0,0,1,0,8,-1,0,0,0,0,0,5,62,248,126,47
3,17,1,38,1,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,1,22,45,162,3
3,17,1,38,1,0,0,1,5,0,0,0,1,0,3,1,0,0,0,0,0,1,22,17,119,73
3,17,1,38,1,0,3,2,1,0,0,0,1,0,5,0,0,0,0,0,0,1,86,255,0,0
3,17,1,38,1,0,0,2,10,0,0,0,1,0,7,0,1,0,0,0,0,1,86,255,0,0
3,17,1,33,1,0,3,2,5,1,0,0,1,0,9,-1,1,0,0,0,0,1,77,139,134,44
3,19,1,38,1,0,1,2,1,1,0,0,1,0,1,0,1,0,0,0,0,3,86,255,0,0
3,19,1,38,1,0,1,2,1,1,0,0,1,0,3,1,1,0,0,0,0,3,86,255,0,0
3,19,1,38,1,0,2,2,1,0,1,0,1,0,5,0,1,0,0,0,0,3,86,255,0,0
3,19,1,38,1,0,3,2,7,0,1,0,1,0,7,0,2,0,0,1,0,3,57,215,166,10
3,19,1,33,1,0,0,0,4,1,1,0,1,0,9,-1,2,0,0,0,0,3,22,177,147,4
3,21,1,38,1,0,1,2,1,0,0,0,1,0,2,0,0,0,0,0,0,6,255,255,0,0
3,21,1,38,1,0,2,1,5,0,0,0,1,0,4,0,0,0,0,0,0,6,61,231,164,23
3,21,1,38,1,0,3,1,2,0,0,0,1,0,6,0,1,0,0,0,0,6,86,255,0,0
